Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,300000,1996,09,-10.6,Y
IDCJAC0002,300000,1996,10,-8.6,Y
IDCJAC0002,300000,1996,11,-0.8,Y
IDCJAC0002,300000,1996,12,2.6,Y
IDCJAC0002,300000,1997,01,2.3,Y
IDCJAC0002,300000,1997,02,0.1,Y
IDCJAC0002,300000,1997,03,-3.5,Y
IDCJAC0002,300000,1997,04,-12.3,Y
IDCJAC0002,300000,1997,05,-13.5,Y
IDCJAC0002,300000,1997,06,-10.9,Y
IDCJAC0002,300000,1997,07,-13.6,Y
IDCJAC0002,300000,1997,08,-15.2,Y
IDCJAC0002,300000,1997,09,-14.5,Y
IDCJAC0002,300000,1997,10,-9.2,Y
IDCJAC0002,300000,1997,11,-1.6,Y
IDCJAC0002,300000,1997,12,3.2,Y
IDCJAC0002,300000,1998,01,2.6,Y
IDCJAC0002,300000,1998,02,0.1,Y
IDCJAC0002,300000,1998,03,-6.4,Y
IDCJAC0002,300000,1998,04,-17.5,Y
IDCJAC0002,300000,1998,05,-12.6,Y
IDCJAC0002,300000,1998,06,-12.3,Y
IDCJAC0002,300000,1998,07,-15.9,Y
IDCJAC0002,300000,1998,08,-9.7,Y
IDCJAC0002,300000,1998,09,-13.4,Y
IDCJAC0002,300000,1998,10,-9.4,Y
IDCJAC0002,300000,1998,11,-1.2,Y
IDCJAC0002,300000,1998,12,3.0,Y
IDCJAC0002,300000,1999,01,2.3,Y
IDCJAC0002,300000,1999,02,-0.3,Y
IDCJAC0002,300000,1999,03,-6.4,Y
IDCJAC0002,300000,1999,04,-11.6,Y
IDCJAC0002,300000,1999,05,-14.7,Y
IDCJAC0002,300000,1999,06,-11.3,Y
IDCJAC0002,300000,1999,07,-16.0,Y
IDCJAC0002,300000,1999,08,-13.5,Y
IDCJAC0002,300000,1999,09,-14.1,Y
IDCJAC0002,300000,1999,10,-7.4,Y
IDCJAC0002,300000,1999,11,-5.0,Y
IDCJAC0002,300000,1999,12,0.3,Y
IDCJAC0002,300000,2000,01,1.6,Y
IDCJAC0002,300000,2000,02,-0.7,Y
IDCJAC0002,300000,2000,03,-4.8,Y
IDCJAC0002,300000,2000,04,-6.8,Y
IDCJAC0002,300000,2000,05,-13.6,Y
IDCJAC0002,300000,2000,06,-12.7,Y
IDCJAC0002,300000,2000,07,-12.3,Y
IDCJAC0002,300000,2000,08,-11.1,Y
IDCJAC0002,300000,2000,09,-10.6,Y
IDCJAC0002,300000,2000,10,-12.2,Y
IDCJAC0002,300000,2000,11,0.2,Y
IDCJAC0002,300000,2000,12,2.7,Y
IDCJAC0002,300000,2001,01,3.4,Y
IDCJAC0002,300000,2001,02,-0.3,Y
IDCJAC0002,300000,2001,03,-4.6,Y
IDCJAC0002,300000,2001,04,-10.4,Y
IDCJAC0002,300000,2001,05,-10.6,Y
IDCJAC0002,300000,2001,06,-14.0,Y
IDCJAC0002,300000,2001,07,-12.9,Y
IDCJAC0002,300000,2001,08,-16.3,Y
IDCJAC0002,300000,2001,09,-13.5,Y
IDCJAC0002,300000,2001,10,-8.0,Y
IDCJAC0002,300000,2001,11,-1.2,Y
IDCJAC0002,300000,2001,12,1.7,Y
IDCJAC0002,300000,2002,01,4.0,Y
IDCJAC0002,300000,2002,02,-1.1,Y
IDCJAC0002,300000,2002,03,-4.2,Y
IDCJAC0002,300000,2002,04,-7.6,Y
IDCJAC0002,300000,2002,05,-8.0,Y
IDCJAC0002,300000,2002,06,-10.4,Y
IDCJAC0002,300000,2002,07,-11.7,Y
IDCJAC0002,300000,2002,08,-16.2,Y
IDCJAC0002,300000,2002,09,-11.9,Y
IDCJAC0002,300000,2002,10,-7.3,Y
IDCJAC0002,300000,2002,11,-1.7,Y
IDCJAC0002,300000,2002,12,2.0,Y
IDCJAC0002,300000,2003,01,4.2,Y
IDCJAC0002,300000,2003,02,2.3,Y
IDCJAC0002,300000,2003,03,-4.2,Y
IDCJAC0002,300000,2003,04,-10.2,Y
IDCJAC0002,300000,2003,05,-14.3,Y
IDCJAC0002,300000,2003,06,-11.5,Y
IDCJAC0002,300000,2003,07,-16.0,Y
IDCJAC0002,300000,2003,08,-15.2,Y
IDCJAC0002,300000,2003,09,-11.0,Y
IDCJAC0002,300000,2003,10,-8.3,Y
IDCJAC0002,300000,2003,11,-1.7,Y
IDCJAC0002,300000,2003,12,4.1,Y
IDCJAC0002,300000,2004,01,4.3,Y
IDCJAC0002,300000,2004,02,2.2,Y
IDCJAC0002,300000,2004,03,-5.4,Y
IDCJAC0002,300000,2004,04,-10.3,Y
IDCJAC0002,300000,2004,05,-10.4,Y
IDCJAC0002,300000,2004,06,-14.6,Y
IDCJAC0002,300000,2004,07,-17.3,Y
IDCJAC0002,300000,2004,08,-11.5,Y
IDCJAC0002,300000,2004,09,-13.5,Y
IDCJAC0002,300000,2004,10,-7.5,Y
IDCJAC0002,300000,2004,11,-1.1,Y
IDCJAC0002,300000,2004,12,5.1,Y
IDCJAC0002,300000,2005,01,4.7,Y
IDCJAC0002,300000,2005,02,0.0,Y
IDCJAC0002,300000,2005,03,-3.6,Y
IDCJAC0002,300000,2005,04,-12.7,Y
IDCJAC0002,300000,2005,05,-13.7,Y
IDCJAC0002,300000,2005,06,-12.1,Y
IDCJAC0002,300000,2005,07,-17.2,Y
IDCJAC0002,300000,2005,08,-15.7,Y
IDCJAC0002,300000,2005,09,-12.4,Y
IDCJAC0002,300000,2005,10,-8.0,Y
IDCJAC0002,300000,2005,11,-1.8,Y
